,original_sentences,adversarial_sentences
496,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,1st Class Voucher Call 2 Save your 1st class airport lounge passes when using your holiday voucher call 2 When booking your first class holiday pass call 2
497,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,Parking center +447797706009 Why wait? Get your license
498,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,YES! The only place in town where you can get a Txt is now in the Txt. It is down to 86688 now! 150p/Msg.
499,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,FREE for 1st week! No1 tone 16+ if ur not texting every week just txt me to 8007 for free txting and tell ur mates. Phone: 36504 W45WQ150p/tone 16+
500,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p",Someone you know has contacted our customer service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be ok! Thank you 150p
501,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876","Mila, age23, blonde, new in the UK. I like to hang out with UK guys. if u like to have a chat with me. Text me to 69866.18. 1st 5free. £1.50 increments. Help08718728876"
502,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm","Claim free, just call 08717895698 now! Thank you!"
503,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",Want to funk out ur fone with a weekly new tone reply TONES2U 2 this week? Get in touch with us at Tones 3GBP network operator rates apply
504,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)","Twinks, bears, scallies, skins and jocks are calling for help. Don't miss the latest news. Call 08712466669 at 10p/min. To stop the call 0871460324(nat)"
505,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,We tried to contact you re your reply to our offer of a free trial of 750GB of wireless networks. UNLIMITED. Please Reply or call 08000930705 NOW
506,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,* We are trying to contact you. Last chance to draw a draw. Please confirm that you have won a £900 prize. Call 09061701851. Enter code K61. Valid 12hours only
507,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,74355 TnC & 2 r r either £500 CD gift vouchers & free 2 r £100 CD gift voucher & free txt MUSIC to 87066 Tnc
508,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max,Congratulations! You can claim 2 VIP tickets to see A & B 2 C Blu in concert in London or anywhere else guaranteed Call 09061104276 to claim TS&Cs at no cost£3.75max
509,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088","Sky Fantasy Football is back on your screens! Go to Sky Fantasy Football on Sky Active and play £250k Dream League. Scoring starts on Saturday, so sign up now!SKY FANTASY Football OUTSIDE 88088"
510,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890£1.50 per msg,$1.50 per msg: Single? Find a single person in your area! 1000s of people are waiting to see you now!Send a msg to 62220Cncl@gmail.com or 08717890890£1.00 per msg
511,"Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!","5 questions about Harry Potter and the Order of the Phoenix (Part 5) reply HARRY, answer 5 questions for a chance to be the first among readers!"
512,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,advertisement
513,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50","Oh my god! I've found my phone number again! I'm so glad, text me back and I'll see you later. chg £1.50"
514,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,A link has been added that you can also see
515,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8","Double Mins & 1000 txts with no tariffs. Nokia, Motorola, SonyEricsson, Nokia with tariffs FREE! Call us on 08000839402 or email us."
516,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,"UPDATE: This is our 2nd attempt to U. Your £900 bill from YESTERDAY is still awaiting payment. To cancel, CALL NOW. 003530150PM"
517,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,"Dear Counsellor, this is your final notice to collect your CASH from Tenerife, or any other CASH company. Call 09061743806 from landline.Tenerife PO Box326 CW25WX 150ppm"
518,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,If u 2 call 09066358152 to claim £5000 U have 2 enter all ur contact info & personal details. Be Careful!
519,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,Identifier code for 07XXXXXXXXX shows 786 unredeemed addresses To call 08719181259 Identifier code: 07XXXXX Date: 26.03.05
520,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,Do you want a new Camcorder? Do you want to buy a new Half Price Line Rental? CamCorder? Reply or call 08000930705 for delivery tomorrow
521,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,Do you have an important question? Call 0800 542 0825
522,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,3. REAL DOGS eg: 1. BlackDigger 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. BlackDog 6. 1st tone FREE and 6 more when u join for £3/wk
523,"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",How to get a TOTALLY FREE reply GO to this message right now!
524,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,Refused a credit card? Secured or Unsecured? Can't get it? Call free now 0800 195 7500 or go back to your bank if you will!
525,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",We have been specially selected to receive this award! Call 08712402050 BEFORE the event starts. Cost 10ppm. 16+. T&Cs apply.
526,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,"YOU HAVE WON! As part of our Vodafone Giveaway, our team has picked YOU to win a £150 voucher. To enter, there is no cost. Just call 09061743386"
527,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,Free 2 camera phones with Half Price phone rental for 12 mths and up from ntwk to 100 mths Call MobileUpd8 08001950382 or WhatsApp
528,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,Great NEW Offer - DOUBLE Mins & DOUble Txt on best Orange products & services AND get latest news and deals for FREE! Call us free on 08000839402 NOW!Get the best Orange T&Cs
529,ringtoneking 84484,advertisement
530,Ringtone Club: Gr8 new polys direct to your mobile every week !,Get a direct message to your inbox every week!
531,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,(Bank of America Merrill Lynch Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS: OVER 300% *********** ********** That is $5.00 per..
532,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Boredom: 0871750.77.11! Free 10p/min only from landlines!
533,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,We tried to call you re your reply to our sms for a fee of 750 USD UNLIMITED. Call us for a free quote or call now 08000930705.
534,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate","This is the 2nd time we have tried to contact you and you have won the £400 prize. This is easy, just call 087104711148 NOW! Only 10p per call."
535,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","2. Have a Meet+Greet with the band. They are currently on tour? 1)Unbreakable, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
536,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0808 145 4742 between 9am-11pm as you have a guaranteed £1000 cash or £5000 credit card.
537,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,You will be receiving this code. Enjoy!
538,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS","You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Call 08712300220 to book a room - or call 08713300220 Bx526, SW73SS"
539,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,"YOU ARE CHOSEN TO RECEIVE A WINNER AWARD! Please call claim number 09066364311 to collect your prize, which you are selected to receive as part of the prize package."
540,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0808 145 4742 between 9am-11pm as you have a guaranteed £1000 cash or £5000 credit card.
541,Win a £1000 cash prize or a prize worth £5000,I have a cash balance of £5000
542,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",Thanks for your help. Your reference number will be emailed to you. Should your tone not arrive please call customer services 09065989182
543,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP,Do you want to win a £100 High Street prize if you know who the new owner of the house will be? Txt her first name to £1 STOP £1.50 008704050406 SP
544,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!","This week's SavaMob deals are now available. Just call 08709501522 for details! Sava Mob, POBOX 139, LA3. Only £1.50/week. Savamob - £2.99/week"
545,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7","You are being followed by a phone call by someone you know! To find out who it is, call from your mobile or landline."
546,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,It has been with us since Sept for£38 definitely not now thanks to your support We will ignore it
547,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,"Thank you for any questions, even if you're not answering them. Welcome. Call me on 08717111821"
